study	mean_auroc	min_auroc	max_auroc	mean_balanced_accuracy	mean_f1_macro	n_models	disease	category	n_samples	minority_frac	minority_n
IjazUZ_2017	0.97108125	0.947	0.9933	0.92105625	0.9204125	16	IBD	IBD	94	0.40425531914893614	38
HMP_2019_ibdmdb	0.9566749999999999	0.7496	0.9896	0.9036375	0.90688125	16	IBD	IBD	1627	0.2618315918869084	426
HallAB_2017	0.9560562499999999	0.8049	0.9924	0.90418125	0.90629375	16	IBD	IBD	259	0.2857142857142857	74
HMP_2019_t2d	0.9547187500000001	0.6493	0.9963	0.80218125	0.8164875	16	T2D/IGT	Metabolic	296	0.1554054054054054	46
BrooksB_2017	0.94946875	0.6587	0.9999	0.81943125	0.80655	16	other	Other	408	0.012254901960784314	5
KieserS_2018	0.943275	0.7943	0.9985	0.8692375	0.85514375	16	GI infection	Infection/parasitic	27	0.3333333333333333	9
GuptaA_2019	0.897025	0.7101	0.9589	0.8316375	0.82785	16	CRC	Cancer (CRC)	60	0.5	30
DavidLA_2015	0.8940125	0.8422	0.9414	0.77871875	0.750625	16	GI infection	Infection/parasitic	47	0.19148936170212766	9
KosticAD_2015	0.8619875	0.5745	0.9702	0.78553125	0.78631875	16	T1D	Metabolic	120	0.25833333333333336	31
VincentC_2016	0.8501875	0.7906	0.9292	0.7612875	0.7615625	16	GI infection	Infection/parasitic	229	0.14410480349344978	33
QinN_2014	0.84921875	0.6796	0.945	0.77806875	0.77664375	16	liver cirrhosis	Metabolic	237	0.4810126582278481	114
NielsenHB_2014	0.82780625	0.4888	0.9367	0.7594625	0.75959375	16	IBD	IBD	396	0.37373737373737376	148
Castro-NallarE_2015	0.79075	0.5825	0.9124	0.74205625	0.72811875	16	neuropsychiatric	Neuropsychiatric	32	0.5	16
RubelMA_2020	0.78914375	0.698	0.8516	0.72569375	0.7237312499999999	16	parasitic (STH)	Infection/parasitic	175	0.49142857142857144	86
LiJ_2014	0.7611375	0.5584	0.9019	0.4486625	0.44561875	16	IBD	IBD	260	0.038461538461538464	10
Heitz-BuschartA_2016	0.75560625	0.551	0.8982	0.7081125	0.69739375	16	T1D	Metabolic	53	0.49056603773584906	26
ChngKR_2016	0.75338125	0.5227	0.9345	0.7056625	0.699425	16	skin/oral	Other	78	0.48717948717948717	38
JieZ_2017	0.75019375	0.6113	0.8572	0.68521875	0.683825	16	cardiometabolic	Metabolic	385	0.44415584415584414	171
GhensiP_2019	0.740675	0.6907	0.787	0.5187437500000001	0.5073875	16	skin/oral	Other	113	0.3805309734513274	43
IaniroG_2022	0.73873125	0.6376	0.8488	0.3775625	0.34536875	16	GI infection	Infection/parasitic	165	0.01818181818181818	3
NagySzakalD_2017	0.6970999999999999	0.5427	0.7935	0.6515125	0.6462375	16	neuropsychiatric	Neuropsychiatric	100	0.5	50
YuJ_2015	0.685025	0.5864	0.8582	0.6381125	0.63395625	16	CRC	Cancer (CRC)	128	0.421875	54
WirbelJ_2018	0.66360625	0.4891	0.8519	0.622125	0.6179250000000001	16	CRC	Cancer (CRC)	125	0.48	60
QinJ_2012	0.65356875	0.4961	0.7375	0.61019375	0.6084625	16	T2D/IGT	Metabolic	363	0.4793388429752066	174
RosaBA_2018	0.65146875	0.3254	0.99	0.59559375	0.55334375	16	parasitic (STH)	Infection/parasitic	24	0.20833333333333334	5
ZhuF_2020	0.6507625	0.505	0.8049	0.6097	0.6060875	16	neuropsychiatric	Neuropsychiatric	171	0.47368421052631576	81
ZellerG_2014	0.6437375	0.5051	0.849	0.47525	0.46926875	16	CRC	Cancer (CRC)	156	0.391025641025641	61
ThomasAM_2019_c	0.62786875	0.4906	0.786	0.599575	0.5914	16	CRC	Cancer (CRC)	80	0.5	40
BedarfJR_2017	0.61190625	0.4195	0.7597	0.58269375	0.5706625	16	neuropsychiatric	Neuropsychiatric	59	0.4745762711864407	28
FengQ_2015	0.60766875	0.5437	0.7204	0.43565624999999997	0.42798125	16	CRC	Cancer (CRC)	154	0.3961038961038961	61
MetaCardis_2020_a	0.6039875	0.5198	0.7066	0.27179375	0.26770625	16	cardiometabolic	Metabolic	1831	0.3506280720917531	642
YeZ_2018	0.5726875	0.3893	0.6767	0.5489437500000001	0.5377125	16	other	Other	65	0.3076923076923077	20
ThomasAM_2018b	0.5714125	0.3824	0.774	0.55266875	0.539675	16	CRC	Cancer (CRC)	60	0.4666666666666667	28
YachidaS_2019	0.56238125	0.4532	0.6499	0.2870125	0.2801875	16	CRC	Cancer (CRC)	616	0.4074675324675325	251
SankaranarayananK_2015	0.5603375	0.3897	0.6758	0.55205625	0.5291625	16	T2D/IGT	Metabolic	37	0.4864864864864865	18
LiSS_2016	0.56030625	0.4073	0.6793	0.45631875	0.42220625	16	other	Other	55	0.09090909090909091	5
ThomasAM_2018a	0.5528125	0.4395	0.628	0.375875	0.3609625	16	CRC	Cancer (CRC)	80	0.3	24
KarlssonFH_2013	0.55040625	0.4473	0.9786	0.39615625	0.38855625	16	T2D/IGT	Metabolic	145	0.296551724137931	43
VogtmannE_2016	0.53584375	0.4559	0.6185	0.526425	0.51880625	16	CRC	Cancer (CRC)	110	0.4727272727272727	52
XieH_2016	0.52866875	0.4318	0.6167	0.34233125	0.33091875	16	other	Other	250	0.292	73
LiJ_2017	0.50466875	0.4402	0.5658	0.34290624999999997	0.3371125	16	cardiometabolic	Metabolic	196	0.20918367346938777	41
HanniganGD_2017	0.4756	0.3787	0.5632	0.31505625	0.301825	16	CRC	Cancer (CRC)	81	0.345679012345679	28
