model	held_out_study	balanced_accuracy	f1_macro	auroc	balanced_accuracy_std	f1_macro_std	auroc_std	n_train_samples	n_eval_samples	ctrl_anchor_mmd_mean	ctrl_anchor_mmd_max	ctrl_anchor_coral_mean	ctrl_anchor_coral_max	n_studies_diag
hyp-philr-zinb	FengQ_2015	0.437509794108875	0.2515860331133871		0.015131888551472	0.0094886585728586		1496	154					0
hyp-philr-zinb	VogtmannE_2016	0.373076923076923	0.2265296761957969		0.0194432703693629	0.0114991858820383		1540	110					0
hyp-philr-zinb	ZellerG_2014	0.4326803450527546	0.2265657345746874		0.0135581707113839	0.0083202124798688		1494	156					0
hyp-philr-zinb	YuJ_2015	0.6253753753753755	0.2599602993072493		0.021612988581628	0.0072523894923248		1522	128					0
hyp-philr-zinb	WirbelJ_2018	0.5714102564102566	0.2405309963682909		0.0217505204846774	0.0097147878046432		1525	125					0
hyp-philr-zinb	YachidaS_2019	0.3182491254466111	0.2320762667874227		0.0022599155495539	0.0022885932083263		1034	616					0
hyp-philr-zinb	ThomasAM_2018a	0.5201255853554704	0.2575917625766101		0.0234865327922985	0.0125335268970425		1570	80					0
hyp-philr-zinb	ThomasAM_2018b	0.6089285714285715	0.2428698681591153		0.0234852829242189	0.0095782048853073		1590	60					0
hyp-philr-zinb	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
hyp-philr-zinb	HanniganGD_2017	0.288739655406322	0.1705380474102801		0.0321460315992964	0.0199101950682807		1569	81					0
hyp-philr-zinb	GuptaA_2019	0.5700000000000001	0.2310383441193499		0.0397911212877111	0.0162209033886558		1590	60					0
treenbvae	FengQ_2015	0.4258104467124652	0.2369136695991044		0.0109884653824924	0.005470892986098		1496	154					0
treenbvae	VogtmannE_2016	0.3525641025641025	0.2179828903049094		0.0101355053210525	0.0050552363781912		1540	110					0
treenbvae	ZellerG_2014	0.411460189808473	0.2203880913144896		0.0235682539332492	0.0125307096232431		1494	156					0
treenbvae	YuJ_2015	0.610910910910911	0.2528546693768077		0.0250734016892217	0.0112836574552133		1522	128					0
treenbvae	WirbelJ_2018	0.6111538461538462	0.2575847457687487		0.0118598405782048	0.0055852300304844		1525	125					0
treenbvae	YachidaS_2019	0.3148854195620618	0.2289972727281528		0.0028613531491246	0.0019671670235834		1034	616					0
treenbvae	ThomasAM_2018a	0.4340570455512984	0.2125466470531409		0.0220446059912682	0.0148560456294524		1570	80					0
treenbvae	ThomasAM_2018b	0.51875	0.2058534078230843		0.0207361145758813	0.007157541640703		1590	60					0
treenbvae	ThomasAM_2019_c	0.9925	0.3969995311767463		0.0068465319688145	0.002739040762645		1570	80					0
treenbvae	HanniganGD_2017	0.3201261701261701	0.190825335725989		0.0214289756551408	0.0110367811735092		1569	81					0
treenbvae	GuptaA_2019	0.55	0.226745947461241		0.0390867979985286	0.0182906726889306		1590	60					0
diva-treenbvae	FengQ_2015	0.882694631059078	0.5309166551930954		0.00636963245006	0.0039642377912418		1496	154					0
diva-treenbvae	VogtmannE_2016	0.6333333333333333	0.377820784050324		0.0028667538173074	0.0010530328867295		1540	110					0
diva-treenbvae	ZellerG_2014	0.8966511029610318	0.5395385704477971		0.0070353920554753	0.0043018807554457		1494	156					0
diva-treenbvae	YuJ_2015	0.9645645645645644	0.3860172439400965		0.0034747857773192	0.0007191910634575		1522	128					0
diva-treenbvae	WirbelJ_2018	0.9442307692307692	0.3837226229074307		0.0	0.0		1525	125					0
diva-treenbvae	YachidaS_2019	0.5972748483101034	0.477962927156976		0.0047544160627128	0.0036407846670484		1034	616					0
diva-treenbvae	ThomasAM_2018a	0.8260110685398043	0.4926482629157401		0.0136117759698765	0.008721570913007		1570	80					0
diva-treenbvae	ThomasAM_2018b	0.9549107142857144	0.3855942668442668		0.0139754248593736	0.0043457404530251		1590	60					0
diva-treenbvae	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
diva-treenbvae	HanniganGD_2017	0.9427146927146928	0.5655760898754427		0.0071853392707117	0.0042446828974775		1569	81					0
diva-treenbvae	GuptaA_2019	0.98	0.3919955518480754		0.0074535599249993	0.0029872283228918		1590	60					0
diva-hyp-philr-nb	FengQ_2015	0.954161548454932	0.5727689252692171		0.0026872168002952	0.0025611622545833		1496	154					0
diva-hyp-philr-nb	VogtmannE_2016	0.6461538461538462	0.3826739162298548		0.0028667538173074	0.0008850754503919		1540	110					0
diva-hyp-philr-nb	ZellerG_2014	0.9242337207075838	0.5566615919779363		1.2412670766236366e-16	0.0001008518589726		1494	156					0
diva-hyp-philr-nb	YuJ_2015	0.9790790790790792	0.3910558062200282		0.0041408666249995	0.0014356138442861		1522	128					0
diva-hyp-philr-nb	WirbelJ_2018	0.9341025641025642	0.3832311218724778		0.0042132504423474	0.0009319977486437		1525	125					0
diva-hyp-philr-nb	YachidaS_2019	0.6920052982562404	0.5203977244944422		0.0018062588101489	0.001556937203601		1034	616					0
diva-hyp-philr-nb	ThomasAM_2018a	0.9016496381438912	0.5468889297690313		0.0051403861551718	0.0047245579500062		1570	80					0
diva-hyp-philr-nb	ThomasAM_2018b	0.9665178571428572	0.3866071428571428		1.2412670766236366e-16	0.0		1590	60					0
diva-hyp-philr-nb	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
diva-hyp-philr-nb	HanniganGD_2017	0.9368471035137702	0.5626767321348602		0.0	0.0		1569	81					0
diva-hyp-philr-nb	GuptaA_2019	0.9833333333333334	0.3933314809669352		0.0	0.0		1590	60					0
diva-beta-vae	FengQ_2015	0.9598828245451742	0.5770623577824701		0.0039690040398924	0.0021183456718131		1496	154					0
diva-beta-vae	VogtmannE_2016	0.6666666666666666	0.3906327169046266		0.0	3.08095414353682e-05		1540	110					0
diva-beta-vae	ZellerG_2014	0.9385444743935312	0.5667003855595445		0.0028126641226412	0.0015544896717821		1494	156					0
diva-beta-vae	YuJ_2015	0.9583083083083082	0.3815807926152753		0.0030217134831078	0.0014051711960856		1522	128					0
diva-beta-vae	WirbelJ_2018	0.9383333333333332	0.3777494668172805		0.0045643546458763	0.0015040448326866		1525	125					0
diva-beta-vae	YachidaS_2019	0.6942492784848113	0.5478865587380555		0.0020437408862132	0.0017133720805916		1034	616					0
diva-beta-vae	ThomasAM_2018a	0.9432098765432098	0.5673060970975145		0.0062112999374993	0.0037855469785886		1570	80					0
diva-beta-vae	ThomasAM_2018b	0.984375	0.3933166248955723		0.0	0.0		1590	60					0
diva-beta-vae	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
diva-beta-vae	HanniganGD_2017	0.9029982363315696	0.5405594405594405		0.0	0.0		1569	81					0
diva-beta-vae	GuptaA_2019	0.98	0.3959088252483927		0.0074535599249993	0.0015682534032727		1590	60					0
